trial,n_blocks,base_filters,dense_units,spatial_dropout,dropout_head,l2_reg,learning_rate,use_batchnorm,epochs,best_val_acc,best_val_loss
4,4,64,256,0.1,0.4,0.0,2.8475898979226043e-05,True,25,0.9846625924110413,0.05120587348937988
11,4,32,256,0.1,0.4,0.0001,4.214376026129217e-05,True,25,0.9846625924110413,0.20336441695690155
12,4,64,256,0.1,0.5,0.0,3.772734190269591e-05,True,25,0.9815950989723206,0.07383783906698227
10,3,32,512,0.0,0.3,0.0,0.00021858884200540862,True,25,0.9785276055335999,0.08903653919696808
8,4,32,512,0.1,0.5,0.0001,0.0008610323423725228,True,25,0.9754601120948792,0.2481243908405304
6,3,64,512,0.0,0.3,0.0001,0.000611282893833249,True,25,0.9754601120948792,0.2774488031864166
2,3,32,512,0.1,0.5,0.0001,0.0003733607072503032,True,25,0.9723926186561584,0.18803660571575165
9,3,32,512,0.0,0.3,0.0,2.393000107750474e-05,True,25,0.9601227045059204,0.1116587370634079
1,3,64,512,0.0,0.4,0.0001,0.0002481624443014984,True,25,0.7699386477470398,0.7386298179626465
3,4,32,512,0.0,0.4,0.0,0.0007137234690401974,True,25,0.7116564512252808,0.7919684052467346
5,3,64,512,0.0,0.5,0.0001,0.0001833702167104593,True,25,0.6871165633201599,0.9346815943717957
7,4,64,512,0.0,0.4,0.0,1.2235100233650854e-05,True,25,0.650306761264801,0.9172284603118896
